FinalIDassigned
Achnanthaceae
Achnanthales
Achnanthes
Achnanthes acares
Achnanthes biasolettiana var subatomus
Achnanthes brevipes
Achnanthes brevipes var intermedia
Achnanthes coarctata
Achnanthes crenulata
Achnanthes exigua var elliptica
Achnanthes inflata
Achnanthes ingratiformis
Achnanthes lacus-vulcani
Achnanthes lewisiana
Achnanthes lutheri
Achnanthes ricula
Achnanthes saxonica
Achnanthes subhudsonis var kraeuselii
Achnanthes taeniata
Achnanthes ventralis
Achnanthidiaceae
Achnanthidium
Achnanthidium affine
Achnanthidium alpestre
Achnanthidium atomus
Achnanthidium biasolettianum
Achnanthidium catenatum
Achnanthidium deflexum
Achnanthidium eutrophilum
Achnanthidium exiguum
Achnanthidium exiguum var heterovalvum
Achnanthidium gracillimum
Achnanthidium jackii
Achnanthidium kranzii
Achnanthidium macrocephalum
Achnanthidium microcephalum
Achnanthidium minutissimum
Achnanthidium minutissimum var affinis
Achnanthidium minutissimum var gracillima
Achnanthidium pyrenaicum
Achnanthidium reimeri
Achnanthidium rivulare
Achnanthidium subatomus
Achnanthidium subhudsonis
Achnanthidium subsalsum
Achnanthidium thienemannii
Actinastrum
Actinastrum 
Actinastrum hantzschii
Actinocyclus
Actinocyclus normanii
Actinotaenium
Actinotaenium colpopelta
Adlafia
Adlafia bryophila
Adlafia minuscula
Adlafia minuscula var muralis
Adlafia suchlandtii
Amphicampa
Amphicampa 
Amphicampa eruca
Amphipleura
Amphipleura pellucida
Amphora
Amphora aequalis
Amphora affinis
Amphora copulata
Amphora copulatoides
Amphora inariensis
Amphora indistincta
Amphora libyca
Amphora minutissima
Amphora ovalis
Amphora pediculus
Amphora perpusilla
Amphora stoermerii
Anabaena
Anabaena   
Anabaena aequalis
Anabaena californica
Anabaena catenula
Anabaena cylindrica
Anabaena felisii  
Anabaena inaequalis
Anabaena iyengarii
Anabaena lapponica
Anabaena oscillarioides
Anabaena oscillatorioides
Anabaena planctonica
Anabaena portoricensis  
Anabaena saaremaaensis
Anabaena sphaerica
Anabaena subcylindrica
Anabaena variabilis
Anabaenopsis
Anabaenopsis 
Anabaenopsis elenkinii
Aneumastus
Aneumastus 
Aneumastus tuscula
Ankistrodesmus
Ankistrodesmus 
Ankistrodesmus falcatus
Ankistrodesmus fusiformis
Ankistrodesmusiralis
Anomoeoneis
Anomoeoneis costata
Anomoeoneishaerophora
Anomoeoneishaerophora var sculpta
Apatococcus
Apatococcus 
Apatococcus lobatus
Aphanizomenon
Aphanizomenon flos-aquae
Aphanocapsa
Aphanocapsa delicatissima
Aphanocapsa elachista
Aphanocapsa grevillei
Aphanocapsa holsatica
Aphanocapsa hyalina
Aphanocapsa incerta
Aphanocapsa parasitica
Aphanocapsa planctonica
Aphanocapsa rivularis
Aphanochaete
Aphanochaete 
Aphanochaete polychaete
Aphanochaete repens
Aphanothece
Aphanothece 
Aphanothece caldariorum
Aphanothece clathrata
Aphanothece elabens
Aphanothece floccosa
Aphanothece minutissima
Aphanothece nebulosa
Aphanothece nidulans
Aphanothece saxicola
Aphanothece stagnina
Apiocystis
Apiocystis 
Apiocystis brauniana
Araphid
Ardissonea
Ardissonea cuneata
Arthrospira
Arthrospira 
Arthrospira corkiana
Astartiella
Astartiella bahusiensis
Astartiella bremeyeri
Asterionella
Asterionella formosa
Asterococcus
Asterococcus 
Asterococcus limneticus
Audouinella
Audouinella hermannii
Aulacoseira
Aulacoseira alpigena
Aulacoseira ambigua
Aulacoseira canadensis
Aulacoseira crassipunctata
Aulacoseira crenulata
Aulacoseira distans
Aulacoseira granulata
Aulacoseira granulata var angustissima
Aulacoseira islandica
Aulacoseira italica
Aulacoseira italica var tenuissima
Aulacoseira lirata
Aulacoseira muzzanensis
Aulacoseira nivalis
Aulacoseira nivaloides
Aulacoseira nygaardii
Aulacoseira pusilla
Aulacoseira subarctica
Aulacoseira tenella
Aulacoseira tethera
Aulacoseira valida
Bacillaria
Bacillaria paradoxa
Bacillariaceae
Bacillariophyceae
Bacularia
Bacularia 
Bacularia vermicularis
Balbiania investiens
Batrachospermales
Batrachospermum
Batrachospermum 
Batrachospermum arcuatum
Batrachospermum boryanum
Batrachospermum gelatinosum
Berkeleya
Berkeleya rutilans
Binuclearia
Binuclearia tatrana
Biremis
Biremis circumtexta
Blidingia minima
Bluegreen
Bluegreen coccoid
Botryosphaerella
Botryosphaerella 
Botryosphaerella sudetica
Brachynema
Brachynema 
Brachysira
Brachysira aponina
Brachysira brebissonii
Brachysira exilis
Brachysira microcephala
Brachysira neoexilis
Brachysira styriaca
Brachysira vitrea
Brachysira zellensis
Bulbochaete
Bulbochaete   
Bulbochaete brebissonii
Bulbochaete mirabilis
Bumilleria
Bumilleriopsis
Caloneis
Caloneis alpestris
Caloneis amphisbaena
Caloneis bacillum
Caloneis branderii
Caloneis clevei
Caloneis hyalina
Caloneis lauta
Caloneis lewisii
Caloneis macedonica
Caloneis molaris
Caloneis permagna
Caloneis schumanniana
Caloneis schumanniana var biconstricta
Caloneis silicula
Caloneis sublinearis
Caloneis tenuis
Caloneis thermalis
Caloneis undulata
Calothrix
Calothrix atricha
